AuthName,ID,ArtTitle,PubDate,Source,Service,AuthSex,AuthRank,Warfighting_Ops,TroopSpt_Culture,Strat_Advice,MilPolicy_Social,Domestic_Policy,Admin_Fig_Name,Thesis,Result,Justification,Details
"Dickens, Samuel",1,Assassins in Manaqua,1991-04-16,NYT,Air Force,M,6,,,1,,,,"If their assassins are allowed to continue to act with impunity, no one is safe in Nicaraugua.",,,
"Odom, William",1,Picking and Choosing Among Emerging Dictatorships,1992-04-12,WaPO,Army,M,9,,,1,,,,"How should the West react to emerging dictators in these states?...In a word, if the West is faced with a series of emerging dictatorships, it needs to discriminate amongst them. A few might be the best hope for a future return to democracy. ",,,
"Odom, William",0,Who Really Won the Cold War? Credit Where Credit is Due,1992-08-19,WaPO,Army,M,9,,,1,,,,The post-Cold War challenge demands at least a modicum of bipartisanship. Half-truths about who won the Cold War will not forge the necessary consensus to use American influence to promote democracy and free markets around the world. ,,,
"Snider, Don",0,Stop Serbia. Bomb Serbia.,1992-10-13,NYT,Army,M,6,1,,,,,,"To keep the conflict from spreading, a coalition of democratic powers under the United Nations should use military force against Serbia, including a strategic air campaign, along with economic and political pressures. ",,,
"Kenney, George and Dugan, Michael",1,Operation Balkan Storm: Here's a Plan,1992-11-29,NYT,Air Force,M,10,1,,,,,,A win in the Balkans would establish US leadership in the pst-cold warworld in a way that Operation Desert Storm never could.,,,
"McFarlane, Robert",0,Consider What Star Wars Accomplished,1993-08-24,NYT,Marine Corps,M,5,,,1,,,,"But today the subject of ""Star Wars"" is raised not in the context of its strategic worth but rather for its potential for scandal - an interesting comment on our political and social values. Even allowing that the American contribution to the collapse of Marxism was elatively small, the role is no less striking. Anything that shortened  an ideological change of such immense consequences is worth serious study.",,,
"Odom, William",1,Yeltsin's Deal with the Devil,1993-10-24,WaPO,ARMY,M,9,,,1,,,,"Yeltsin [in closing Parliament] at last has a political coalition that can break the political paralysis in Moscow. At the same time, he is restoring political forces that will make economic and poitical reform difficult if not possible. ",,,
"Zumwalt, Elmo",1,The War is Over,1994-02-07,NYT,Navy,M,10,,1,,,,,"As a parent and a wartime commander, I know the anguish these families feel. They need to know what happened to their loves ones, or at least that all that can be done has been done. This can only happen if we put aside bitterness and revenge, lift the trade sanctions, recognize the government and begin the peaceful penetration of Vietnam.",,,
"Odom, William",1,"Invade, Don't Bomb",1994-02-18,WSJ,Army,M,9,1,,,,,,"Assuming that air strikes alone won't achieve any significant results on the ground in Bosnia, they could still have one redeeming consequence: waking the administration up to the necessity of designing and implementing an effective NATO strategy for Europe. That is probably too much to hope for, but not many other straws are there to grasp.",,,
"Trainor, Bernard",1,Gorazde Cease-Fire is Irrelevant,1994-04-27,NYT,Marine Corps,M,9,1,,,,,,"While the US and Russia pledged yesterday to strive for a diplomatic solution to the war, that solution must recognize the Serbs' supremacy on the battlefield. Spreading the protective wing of NATO airpower over the Muslim enclaves has ended the slaughter at Gorazde, as it did at Sarajevo. But the move is strategically and militarily irrelevant. ",,,
"Watts, Claudius",1,Single-Sex Education Benefits Men Too,1994-05-03,WSJ,Air Force,M,9,,,,1,,,"But the Citadel is not fighting to keep women out of the Corps of Cadets because there is a grandiose level of 19th-centru machismo to protect. Rather, we at the Citadel are trying to preserve an educational environment that molds young men into grown men of good character, honor, and integrity. It is part of a single-sex educational system that has proven itself successful throughout history.",,,
"Odom, William",1,The Ames Case: A Symptom of Crisis,1994-07-15,WaPO,Army,M,9,,1,,,,,The intelligence communiy is in its greatest postwar crisis…At least four major factors are involved…,,,
"Joyce, Larry",1,Remember the Losses - and Lessons - Of Somalia,1994-10-03,WSJ,Army,M,5,,1,,,,,"When American Troops are in a combat environment, they become the number one priority. Domestic agendas should be put on the back burner until the Troops are out of the line of fire. The President must constantly stay abreast of the military situation to ensure that military actions are consistent with current foreign policy.",,,
"Sweeney, Charles ",1,The Sky Was Bleached a Bright White,1995-07-19,WSJ,Air Force,M,8,,1,,,,,"I believed then and continue to believe today that President Truman made the right decision to dropthe bomb. As the father of 10 children and the grandfather of 21, I am certainly grateful that the war ended when it did. ",,,
"Odom, William",1,One Year? In Bosnia?,1995-12-05,NYT,Army,M,9,1,,,,,,"The very idea of creating a stable Bosnia in one year is ludicrous…many Americans want to support the deployment, but the President makes it extremely difficult with his mission-strategy mismatch. ",,,
"Haig, Alexander",1,Custom's Union: Time to Recognize Turkey's Friendship,1995-12-12,WSJ,Army,M,10,,,1,,,,A decision to bring Turkey into the Customs Union will help preserve Europe and improve it. ,,,
"Odom, William and Reddaway, Peter",0,Yeltsin's False Truce,1996-04-03,NYT,Army,M,9,,,1,,,,"Russia's integrity as a democracy can probably be shored up only by letting Chechnya go. If the Clinton administration refuses to use its financial leverage to make Mr. Yeltsin realize this, then it at least owed the American public a clear explanation of how our implicit support of his grim war is helping achieve American interests. ",,,
"Evans, David",1,The Navy's Blues,1996-06-08,NYT,Marine Corps,M,5,,,1,,,,"""Adrift"" is the word most associated with the Navy these days, an image the newly appointed Chief of Naval Operations, Adm. Jay L. Johnson, must work to dispel.",,,
"Odom, William",1,Russia's Military: Down But Not Out,1996-08-27,WSJ,Army,M,9,,,1,,,,"Even if liberal political leaders prevail in Moscow, they will continue trying to increase Russian influence in Central Europe. The key point is that the political stalemate in Moscow has not sidelined Russia from this competition. It would be a serious error to conclude on the basis of its failure in Chechnya that the Russian military won't be able to back Moscow's diplomacy. Indeed, the Chechen debacle could have just the opposite effect--spurring the very reforms that have thus far eluded the Russian military.",,,
"Odom, William",1,"Chechnya, Freedom, and the Voice of Yeltsin Past",1996-08-28,WaPO,Army,M,9,,,,,,1,"Is Clinton oblivious to his moral complicity with Yeltsinin more than 30,000 deaths in Chechnya, including several thousand Russian civilians? How can he, at the same time, take seriously Moscow's complaint's about violations of the ""human rights"" of Russians living in Estonia?",,,
"Zumwalt, E.R.",1,A Needless Risk for US Troops,1997-01-06,WaPo,Navy,M,10,,,1,,,,"If we refuse to ratify, some governments will use our refusal as an excuse to keep their chemical weapons…At the bottom line, our failure to ratify will substantially increase the risk of a chemical attack against American service personnel. ",,,
"Butler, George Lee",1,The General's Bombshell: What Happened When I Called for Phasing Out the US Nuclear Arsenal,1997-01-12,WaPo,Air Force,M,10,,,1,,,,…surely we still comprehend that to threaten the deaths of tens of hundreds of millions of people presages an atrocity beyond anything in the record of mankind?...This cannot be the moral legacy of the Cold War. And it is our responsibility to ensure that it will not be.,,,
"Rowny, Edward",1,Yes to the Chemical Weapons Accord,1997-04-23,WaPo,Army,M,9,,,1,,,,The Chemical Weapons Convention now up for vote is in the US national interest and should be ratified…I urge the U.S. Senate to ratify the Chemical Weapons Convention.,,,
"Odom, William",1,A look at Expanding Nato; History Tells Us the Alliance Should Grow,1997-07-06,WaPo,Army,M,9,,,1,,,,"No great strategic departure is without risks, and enlarging NATO has some…likewise, there are risks in not going forward, for that too is a strategic departure - backward from Europe.",,,
"Gard, Robert",1,Flawed Arguments for Landmines,1997-07-16,WaPo,Army,M,9,,,1,,,,"In their July 9 op-ed article, ""Hard Questions About Landmines,"" a National Defense University official and an Army colonel argued that efforts to ban future deployments of…mines are ""more nostrums than solutions.""…I strongly disagree.",,,
"Larson, Doyle",1,Plenty of Room to Honor the Air Force,1997-09-21,WaPo,Air Force,M,8,,1,,,,,The attack on the Air Force Memorial…was off-base. The Air Force Memorial would not intrude on the Iwo Jima memorial.,,,
"McFarlane, Robert",0,Pakistan's Catch-22,1998-05-30,NYT,Marine Corps ,M,5,,,1,,,,"…We must out forward and lead a serious agenda of arms control. Separate, but related, is the enduring need to assure the security of the weakest member in the region, Pakistan…",,,
"McFarlane, Robert",0,Risking Double Defeat: No Arms Treaty and Bad Arms,1998-07-01,NYT,Marine corps,M,5,,,1,,,,"Having spent the past year working with a bipartisan group of Congressional and former cabinet-level national security experts to define our strategic requirements, I believe a workable compromise can be forged….",,,
"Pebley, Jim",1,A Voice for Veterans,1998-07-19,WaPo,Navy,M,5,,1,,,,,"[Arlington Cemetery] will be full by 2025. And after that, no more sons and daughters of America can be buried in the same clay as the honored unknowns of Arlington.",,,
"Odom, William",1,"Our Russian Illusions, Crushed by Reality",1998-09-06,WaPo,Army,M,9,,,1,,,,"We must shift away from our obsession with creating a democracy in Russia and put our emphasis on creating a liberal political system - that is, a system that limits the state's power and that guarantees citizens' private property and civil rights.",,,
"Sullivan, Gordon",1,Washington Tightwads are Creating a Hollow Military,1998-09-22,WSJ,Army,M,10,,,1,,,,Defense Spending has fallen too far.,,,
"Mcdonough, James",1,Clinton's Contempt for U.S. Soldiers,1998-09-28,WSJ,Army,M,5,,,,,,1,"I do not know what constitues a high crime or misdemeanor. I suspect, however, that had American soldiers been killed…President Clinton would have been guilty of one or the other. ",,,
"Peters, Ralph",1,"It's Wonks vs. Warlords, and Guess Who Wins Again?",1998-11-17,WSJ,Army,M,5,,,,,,1,"It wasn't Saddam Hussein who blinked last weekend, it was President Clinton…all such matters are secondary to the problem of a President for whom opinion polls are the only sure guide to decisionmaking…",,,
"Studeman, W.O.; Shapiro, Sumner; Butts, J.L.; Brooks, T.A.",1,Release Pollard at the Nation's Peril,1998-12-12,WaPo,Navy,M,"8, 10",,,1,,,,"In today's multi-polar world, where the threat of international terrorism and the proliferation of weapons of mass destruction are constant concerns, intelligence and security cooperation with friendly nations is essential. Anything that causes our friends to be reluctant to share intelligence with us could severely damage our national security.",,,
"Peters, Ralph",1,A Question of Leadership,1998-12-17,WSJ,Army,M,5,1,,,,,,"And I hope that Mr. Clinton, as he sends those who are truly our nation's finest into combat, has a strategic plan and the guts to see the plan through. When our nation employs its military power, it must do so resolutely, with clarity of intent and perseverance. ",,,
"Bacevich, Andrew",0,Discord Still: Clinton and the Military,1999-01-03,WaPo,Army,M,6,,,1,,,,"Thus, the price of civil-military harmony is a defective policy that wastes resources, alienates allies and undermines American credibillity abroad. That, rather than soldiers' low opinions of the president's character, should be cause for concern. ",,,
"Peters, Ralph",1,"America Must Stop Kosovo's Killers, Not Baby-Sit Them",1999-02-23,WSJ,Army,M,5,1,,,,,,"The gunmen have to go…their weapons must be removed, not just buried or stacked in local armories…If America is not willing to do what is necessary in Kosovo --- disarming, arresting, and enforcing --- Washington's efforts will be no more than another time-out call between bouts of slaughter. ",,,
"Peters, Ralph",1,Can NATO finish the Job in Kosovo?,1999-03-29,WSJ,Army,M,5,,,1,,,,"The Kosovo crisis will redraw Balkan borders, although Belgrade, Brussels, and Washington continue to claim otherwise…the changes the crisis may bring to the most important alliance in history will matter to the world. ",,,
"Odom, William",1,Take Belgrade,1999-04-02,WSJ,Army,M,9,1,,,,,,,,,
"Crowe, William",1,More US Ambassadors than Generals and Admirals Have Been Killed in Service Than World War II,1999-05-04,WaPo,Navy,M,10,,,1,,,,We should never allow budgetary considerations to achieve greater importance than the lives of the people who serve our country with selfless dedication. ,,,
"Odom, William",1,A Conditional Surrender,1999-06-06,NYT,Army,M,9,,,1,,,,Are we witnessing a diplomatic victory that will bring peace to the Balkans? Or will President Clinton win the Neville Chamberlain memorial umbrella trophy for accepting a phony peace? Let us hope for the former - although much evidence suggests the latter will come to pass. ,,,
"Peters, Ralph",1,Peace in Kosovo: And the Peace May Be Even More So,1999-06-07,WSJ,Army,M,5,1,,,,,,"A true NATO victory [in the Balkans] would have seen an independent Kosovo, the punishment of war crimnals and a change of regime in Belgrade. ",,,
"McCaffrey, Barry",0,Don't Legalize Those Drugs,1999-06-29,WaPo,Army,M,10,,,,,1,,"Drug consumption damages the brain, which in turn produces other forms of destructive behavior. US law does not grant people the right to destroy themselves or others. Addictive drugs were criminalized because they are harmful; they are not harmful because they are criminalized. ",,,
"Peters, Ralph",1,Empires' End in East Timor - and Beyond,1999-09-09,WSJ,Army,M,5,,,1,,,,"What is to be done?...First, Washington must take a long term view of global change…Second, the US must align itself with forces of popular change, abandoning its reflexive commitment to the forces of reaction. ",,,
"Odom, William",1,Russia's Next Blunder,1999-10-01,NYT,Army,M,9,,,1,,,,"Some leaders in Moscow, generals as well as nationalist politicians, may see the war as a chance to reassert Russian control over the entire Caucasus. ",,,
"McFarlane, Robert ",0,The Uses of a Coup,1999-10-14,NYT,Marine Corps,M,5,,,1,,,,"The world has a huge stake in restraining the cetrifugal forces at play in both India and Pakistan. But if efforts to help are to be taken seriously, they must involve a genuine long-term commitment by the great powers, backed by financial resources, to bring these two enemies to a modus-vivendi. ",,,
"Odom, William",1,Clinton's Quids Don't Produce Russian Quos,1999-11-22,WSJ,Army,M,9,,,,,,1,"Russia simply is not on the path to liberal democracy or to an effective market economy. Periodic assertions that the Russian economy is ""on the mend"" or that ""progress toward democracy"" may be slow but is continuing, or that ""polarized politics"" is a thing of the past are simply misleading. Mr. Clinton needs to ask his Russia experts some tough questions.",,,
"Stockdale, James",1,John McCain in the Crucible,1999-11-26,NYT,Navy,M,9,,1,,,,,…I think John McCain is solid as a rock. And I consider it blasphemy to smudge the straight-arrow prisoner of war record of a man who was near death when he arrived in Hoa Loa Prison in 1967…,,,
"Mundy, Carl",1,Playing Politics at the Military's Expense,1999-12-17,NYT,Marine Corps,M,10,,,,1,,,"My judgement is that [don't ask, don't tell] can't be walked back, and that the policy is an acceptable compromise that's working acceptably.It should not be tampered with to meet a political agenda. ",,,
"Mariner, Rosemary",1,Adm. Zumwalt Changed My Life,2000-01-09,WaPo,Navy ,F,6,,1,,,,,,,,
"Davis, M. Thomas",1,Operation Dire Straits; Here's Why the Military is Failing to Attract the Right Recruits,2000-01-16,WaPo,Army,M,6,,,1,,,,,,,
"Odom, William",1,Why the Chechens Are Winning,2000-01-28,WSJ,Army,M,9,,,1,,,,"Given Mr. Putin's efforts to diffuse Western outrage -- persuading the Council of Europe not to expel Russia and sending his spin master, Valentin Yumashev, to the U.S. -- the West has more influence on, and more complicity in, the outcome of this war than it wants to believe. Now is the time to act.",,,
"Scott, James",1,"Sticking Point; In Defending Its Troops Against Anthrax, The Pentagon Has Injected Distrust Instead",2000-01-30,WaPo,Army,M,9,,,1,,,,,,,
"McFarlane, Robert",0,"Missile Defense, Then and Now",2000-05-04,NYT,Marine Corps,M,5,,,1,,,,"As President Bill Clinton prepares to decide whether to deploy a ballistic missile defense system or to wait for further testing to be completed, it may be useful to recall the history that brought us to this point…",,,
"Sinnreich, Richard",1,Honoring Uncommon Valor,2000-07-09,WaPo,Army,M,6,,1,,,,,,,,
"Sinnreich, Richard",1,Don't Discount Cold War Lessons,2000-07-24,WaPo,Army,M,6,,,1,,,,,,,
"Crowe, William",1,Still Not Safe Overseas: How Our Embassies Can Be Better Protected,2000-08-07,WaPo,Navy,M,10,1,,,,,,,,,
"Shalikashvili, John and Perry, William",1,The U.S. Military: Still the Best By Far,2000-08-10,WaPo,Army,M,10,,,1,,,,,,,
"Odom, William",1,Buchanan Has it Backwards on Globalization,2000-08-11,WSJ,Army,M,9,,,,,,1,"Do multinational corporations and globalization erode the sovereignty of the U.S.? Patrick Buchanan and the Reform Party think so. But the fledgling party, now in the middle of a disorganized California convention, has it backwards.",,,
"Sinnreich, Richard",1,False Fights About Readiness,2000-08-14,WaPo,Army,M,6,,,1,,,,,,,
"Odom, William",1,A Disaster Puts Putin in a Bind,2000-08-20,NYT,Army,M,9,,,1,,,,,,,
"Krepinevich, Andrew",1,Ready for the Wrong War,2000-09-01,WSJ,Army,M,6,,,1,,,,,,,
"Owens, William",1,The Wrong Argument About Readiness,2000-09-01,NYT,Navy,M,10,,,1,,,,Both the White House and the Republican Congress are responsible for this situation [of low readiness]. Our presidential candidates should address it. And the next administration and Congress should fix it. ,,,
"Clark, Wesley",1,Ready or What?,2000-09-08,WaPo,Army,M,10,1,,,,,,,,,
"McFarlane, Robert",0,Vilifying Pakistan,2000-09-18,WaPO,Marine Corps,M,5,,,1,,,,…our country needs to engage both India and Pakistan in a sustained trialogue founded on goodwill and objectivity. ,,,
"Holloway, James",1,Pearl Harbor Scapegoat,2000-10-06,WaPo,Navy,M,10,,,1,,,,,,,
"Clark, Wesley",1,Risking the Alliance,2000-12-08,WaPo,Army,M,10,,,1,,,,,,,
"Odom, William",1,The End of Glasnost,2000-12-13,WSJ,Army,M,9,,,1,,,,"Unfortunately, George W. Bush has spoken about Russia as if he would behave in the same enabling fashion as Mr. Clinton. Al Gore, of course, has shaped and supported Mr. Clinton's policy for eight years. The time has come, however, to adopt a new approach toward Russia.",,,
"Shalakasvili, John",1,The Test Ban Solution,2001-01-06,WaPo,Army,M,10,,,1,,,,,,,
"McFarlane, Robert",0,Fueling a Revival,2001-04-10,WaPO,Marine Corps,M,5,,,1,,,,Russia is making clear its intention once more to become a superpower -- this time relying heavily on the power inherent in controlling vast energy resources….all of these matters are currently under review by the new administration.  The resultant global energy policy cannot come a moment too soon. ,,,
"Sinnreich, Richard",1,Up-or-Out: It's No Be-All and End-All,2001-07-05,WaPo,Army,M,6,,,1,,,,,,,
"Clark, Wesley",1,A Month in Macedonia Will Not Be Enough,2001-08-17,NYT,Army,M,10,1,,,,,,,,,
"Boyd, Charles",1,Vulnerable to Hate,2001-09-12,WaPo,Air Force,M,10,,,1,,,,,,,
"McFarlane, Robert",0,Get Them Where They Live,2001-09-12,WaPo,Marine Corps,M,5,1,,,,,,We have more than ample reason to take on terrorism in Afghanistan. A systemic approach is needed. The means of such an approach are at hand. We must get started. ,,,
"McFarlane, Robert",0,The Tragedy of Abdul Haq,2001-11-02,WSJ,Marine Corps,M,5,,,1,,,,,,,
"Clark, Wesley",1,Neglected Allies,2002-02-01,WaPo,Army,M,10,1,,,,,,,,,
"Sullivan, Gordon",1,Why We Need Crusader,2002-05-16,WaPo,Army,M,10,,,1,,,,,,,
"Habiger, Eugene and Perry, William and Nunn, Sam",1,Still Missing: A Nuclear Strategy,2002-05-21,WaPo,Air Force,M,10,1,,,,,,,,,
"Odom, William",1,Break up the FBI,2002-06-12,WSJ,Army,M,9,1,,,,,,"The only solution is the creation of a new National Counterintelligence Service dedicated only to CI and counterterrorism. It should take over the FBI's CI responsibilities, leaving it to deal only with domestic law enforcement. This new agency must have operational authority to look directly into the CI operations of the CIA and the military services. ",,,
"Odom, William",1,Macedonian Crisis Shows Need for NATO Expansion,2001-06-20,WSJ,Army,M,9,,,1,,,,"Equal audacity and speed is needed to finish making Europe whole and free with NATO enlargement. If the President wants to match his father's legacy, he can. ",,,
"Haig, Alexander",1,"On Invading Iraq: Less Talk, More Unity",2002-08-29,WaPo,Army,M,10,,,1,,,,,,,
"McInerney, Thomas",1,Liberation Blitz,2002-10-11,WSJ,Air Force,M,9,,,1,,,,,,,
"McInerney, Thomas",1,Friendly Fire: From Tragedy to Justice,2003-01-21,WSJ,Air Force,M,9,,,1,,,,,,,
"Shalikashvili, John and Carter, Ash and Perry, William",1,A Scary Thought: Loose Nukes in North Korea,2003-02-06,WSJ,Army,M,10,1,,,,,,,,,
"Blair, Dennis and Reeder, Joe",1,A Multicultural Military,2003-03-22,WaPo,Navy,M,10,,,,1,,,,Questionable,Topic,The authors tie a pending Supreme Court Decision regarding affirmative action to military readiness.
"Hoar, Joseph",1,Why Aren't There Enough Troops in Iraq,2003-04-02,NYT,Marine Corps,M,10,1,,,,,,,,,
"McPeak, Merrill",1,Shock and Pause,2003-04-02,NYT,Air Force,M,10,1,,,,,,,,,
"McPeak, Merrill",1,Leave the Flying to Us,2003-06-05,WaPo,Air Force,M,10,1,,,,,,,,,
"McFarlane, Robert",0,Gas That's Good For Us,2003-07-09,WSJ,Marine Corps,M,5,,,1,,,,,,,
"McCaffrey, Barry",1,We Need More Troops,2003-07-29,WSJ,Army ,M,10,1,,,,,,,,,
"McInerney, Thomas and Woolsey, James",1,The Next Korean War,2003-08-04,WSJ,Air Force,M,9,,,1,,,,,,,
"Trainor, Bernard",1,"An Attack Strategy to Win: The More Troops We Array Against Iraq, the Less Resistance We Will Face",2003-09-18,WaPo,Marine Corps,M,9,1,,,,,,,,,
"McFarlane, Robert",0,What's Good for Russia is Good for America,2003-09-26,NYT,Marine Corps,M,5,,,1,,,,"While it is true that America's roots are more deeply intertwined with the countries of Western Europe,the United States need not choose between Russia and Europe. It will always be in America's interest to cooperate with both. ",,,
"Hoar, Joseph and Klass, Richard",1,A Risky Strain on an Overstretched Army,2003-10-12,WaPo,Marine Corps and Air Force,M,"10, 6",,,1,,,,,,,
"Meigs, Montgomery",1,"We Weren't Prepared to Stay, But We Must",2003-10-12,WaPo,Army,M,10,1,,,,,,,,,
"Bacevich, Andrew",1,"Lower Expectations, Set a Date, and Leave",2003-10-12,WaPo,Army,M,6,1,,,,,,,,,
"McFarlane, Robert",0,Save Ukraine From Mother Russia,2003-10-13,WSJ,Marine Corps,M,5,,,1,,,,,,,
"Downing, Wayne",1,"Hearts and Minds? First, Just Win",2003-12-07,WaPo,Army,M,10,1,,,,,,,,,
"Goodpaster, Andrew",1,"George Marshall's World, and Ours",2003-12-11,NYT,Army,M,10,,,1,,,,,,,
"Anderson, Gary",1,On Patrol with Iraq's 'Homeboys',2004-01-28,WaPo,Marine Corps,M,6,,1,,,,,,,,
"Clark, Wesley",1,Medals of Honor,2004-04-28,NYT,Army,M,10,,,,,,1,,Inappropriate,Political Leaning,"The author calls on President Bush to denounce calls made by others attacking Democratic Candidate John Kerry's Vietnam War Record.  Clark previously dropped out of the race 60 days before the op-ed publication, and should no longer be commenting on these types of issues. "
"Whitlow, William",1,The Price of Giving Bad Advice,2004-05-30,WaPo,Marine Corps,M,8,,,1,,,,,,,
"McFarlane, Robert",0,"Over the Past 30 Years, through….",2004-08-01,WaPo,Marine Corps,M,5,,,1,,,,,,,
"Franks, Tommy",1,War of Words,2004-10-19,NYT,Army,M,10,,,,,,1,,Inappropriate,Political Leaning,Defense of President George W. Bush 
"Franks, Tommy",1,"Right Leader, Right Time",2004-11-01,WSJ,Army,M,10,,,,,,1,,Inappropriate,Political Leaning,Endorsement of George W. Bush for President
"DeLong, Michael",1,Setting the Record Straight on Tora Bora,2004-11-01,WSJ,Marine Corps,M,9,1,,,,,,,,,
"Marks, James",1,"Rebels, Guns, and Money",2004-11-10,NYT,Army,M,8,1,,,,,,"One of the most difficult aspects of counterinsurgency operations is deciding when to declare victory and head on home, and it is far too early to even begin thinking about that. But with each American and Iraqi soldier that steps into Fallujah this week, we are that much closer to the end. ",,,
"McFarlane, Robert",0,A Declaration of Energy Independence,2004-12-20,WSJ,Marine Corps,M,5,,,1,,,,,,,
"Krohn, Charles",1,"In Iraq, Echoes of Another Offensive",2004-12-29,WaPo,Army,M,5,,,1,,,,,,,
"Clark, Wesley",1,Set Kosovo Free,2005-02-01,WSJ,Army,M,10,1,,,,,,,,,
"Ralston, Joseph and Pickering, Thomas",1,America's New Beginning with India,2005-03-15,WSJ,Air Force,M,10,,,1,,,,,,,
"Odom, William",1,Why the FBI Can't Be Reformed,2005-06-29,WaPo,Army,M,9,1,,,,,,,,,
"Clark, Wesley",1,Before It's Too Late in Iraq,2005-08-26,WaPo,Army,M,10,1,,,,,,,,,
"Clark, Wesley",1,The Next Iraq Offensive,2005-12-06,NYT,Army,M,10,1,,,,,,,,,
"Hansen, Victor",1,No Secrety Rules on Torture,2005-12-15,WaPo,Army,M,5,,,1,,,,,,,
